"ID Rotulo","Referencia","Color","Tipo","Capas","Pedido","GramosGranel","JuegosGranel","FechaProducción","fechaIngreso"
"45628","Z28-I","A2 ZEN","Muela","2C","11248","275","143.2","12/23/2024","12/28/2024 10:45"
"45616","21J-S","A3 ZEN","Diente","2C","11248","201","75","12/23/2024","12/28/2024 10:44"
"45624","3P-S","A2 ZEN","Diente","2C","11248","106","67.1","12/23/2024","12/28/2024 10:40"
"45629","Z30-I","A2 ZEN","Muela","2C","11248","254","119.8","12/23/2024","12/28/2024 10:35"
"45576","267-S","A3 ZEN","Diente","2C","11239","177","76.3","12/23/2024","12/28/2024 9:13"
"45632","S5-I","A1 PLUS","Diente","4C","1","218","170.3","12/23/2024","12/28/2024 9:13"
"45611","3P-I","A2 ZEN","Diente","2C","11248","146","128.1","12/23/2024","12/28/2024 9:13"
"45627","43D-S","A2 ZEN","Diente","2C","11248","103","78","12/23/2024","12/28/2024 9:12"
"45565","137-S","A2 ZEN","Diente","2C","11248","53","27.7","12/21/2024","12/28/2024 16:07"
"45645","MV-S","A3 ZEN","Muela","2C","11248","107","54","12/26/2024","12/28/2024 8:31"
"45583","3N-S","A3 ZEN","Diente","2C","11248","233","172.6","12/23/2024","12/28/2024 8:30"
"45619","V8-I","A3 ZEN","Muela","2C","11248","213","72","12/23/2024","12/28/2024 8:06"
"45605","34M-S","A3 ZEN","Muela","2C","11224","283","124.1","12/23/2024","12/28/2024 13:32"
"45600","S15-S","A1 PLUS","Diente","4C","1","113","47.1","12/23/2024","12/27/2024 14:04"
"45626","D-I","A2 ZEN","Diente","2C","11248","20","21.7","12/23/2024","12/28/2024 12:26"
"45620","4H-I","A3 ZEN","Diente","2C","11248","123","104.2","12/23/2024","12/27/2024 14:03"
"45591","V8-S","A2 ZEN","Muela","2C","11248","564","187.4","12/23/2024","12/27/2024 14:02"
"45580","1H-S","A2M","Diente","2C","NAL 2C","40","21.2","12/23/2024","12/27/2024 12:55"
"45634","3P-S4C","A1 PLUS","Diente","4C","1","41","21.6","12/23/2024","12/27/2024 11:51"
"45610","32L-S","A2 ZEN","Muela","2C","RESISTAL","893","364.5","12/23/2024","12/27/2024 11:50"
"45617","MV-S","A3 ZEN","Muela","2C","11248","152","76.8","12/23/2024","12/27/2024 11:48"
"45630","10M-S","A2 ZEN","Muela","2C","11248","123","84.8","12/23/2024","12/27/2024 11:48"
"45588","3P-I","A3 ZEN","Diente","2C","11248","221","193.9","12/23/2024","12/27/2024 11:48"
"45602","S52-S","A1 PLUS","Diente","4C","1","128","92.8","12/23/2024","12/27/2024 11:48"
"45608","3P-S","A3M","Diente","2C","NAL 2C","68","43","12/23/2024","12/28/2024 15:45"
"45589","XV-S","A2 ZEN","Muela","2C","11248","315","157.5","12/23/2024","12/28/2024 12:41"
"45586","A25Z-S","A3 ZEN","Diente","2C","11248","30","24.4","12/23/2024","12/28/2024 14:51"
"45581","32L-I","A2M","Muela","2C","NAL 2C","194","72.1","12/23/2024","12/27/2024 11:17"
"45598","4H-I","A2 ZEN","Diente","2C","11248","56","47.5","12/23/2024","12/28/2024 16:01"
"45636","S68-S","A2 PLUS","Diente","4C","11240","123","65.4","12/23/2024","12/27/2024 10:54"
"45573","A25-S","B3","Diente","2C","RESISTAL","263","213.8","12/21/2024","12/27/2024 9:12"
"45319","267-S","A3 ZEN","Diente","2C","11239","56","24.1","12/16/2024","12/27/2024 16:40"
"45560","XV-I","A2 ZEN","Muela","2C","11248","276","130.8","12/21/2024","12/28/2024 15:51"
"45566","1N-S","A2 ZEN","Diente","2C","11248","29","19.7","12/21/2024","12/28/2024 13:17"
"45604","S27-S","A1 PLUS","Diente","4C","1","124","51.2","12/23/2024","12/27/2024 9:10"
"45458","32L-S","B2","Muela","2C","11239","129","52.7","12/18/2024","12/27/2024 9:09"
"45564","21J-S","A2 ZEN","Diente","2C","11248","278","103.7","12/21/2024","12/27/2024 7:57"
"45568","S12-S","A1 PLUS","Diente","4C","11240","54","36","12/21/2024","12/27/2024 13:43"
"45579","32M-S","A2M","Muela","2C","NAL 2C","162","82.7","12/23/2024","12/27/2024 7:56"
"45578","32L-I","A3 ZEN","Muela","2C","RESISTAL","128","47.6","12/23/2024","12/27/2024 17:50"
"45557","2P-S","A3 ZEN","Diente","2C","11239","71","41.3","12/21/2024","12/27/2024 14:52"
"45569","S17-S","A1 PLUS","Diente","4C","11240","238","86.2","12/21/2024","12/27/2024 7:14"
"45635","S42-S","A3 PLUS","Diente","4C","11240","119","70.8","12/23/2024","12/27/2024 7:13"
"45571","P4-S","A3,5 PLUS","Muela","4C","11240","125","34.3","12/21/2024","12/26/2024 14:09"
"45552","S6-I","A3 PLUS","Diente","4C","11240","92","65.7","12/20/2024","12/26/2024 14:09"
"45554","32L-S","A2 ZEN","Muela","2C","RESISTAL","770","314.3","12/21/2024","12/26/2024 14:08"
"45567","1N-I","A2 ZEN","Diente","2C","11248","104","99","12/21/2024","12/26/2024 14:08"
"45501","D-I","A2 ZEN","Diente","2C","11248","20","21.7","12/20/2024","12/26/2024 14:01"
"45572","P5-I","A3,5 PLUS","Muela","4C","11240","134","51.5","12/21/2024","12/26/2024 12:15"
"45555","32L-I","A3 ZEN","Muela","2C","RESISTAL","917","340.9","12/21/2024","12/26/2024 12:15"
"45507","A25-S","B3","Diente","2C","11239","20","16.3","12/20/2024","12/26/2024 11:49"
"45533","A26-S","A2 ZEN","Diente","2C","11224","139","97.9","12/20/2024","12/26/2024 10:45"
"45536","32M-S","A3 ZEN","Muela","2C","11224","184","93.9","12/20/2024","12/26/2024 10:44"
"45537","A26-S","A3 ZEN","Diente","2C","11224","242","170.4","12/20/2024","12/26/2024 10:43"
"45512","2D-S","A4","Diente","2C","RESISTAL","147","123.5","12/20/2024","12/26/2024 10:43"
"45551","P5-I","A3 PLUS","Muela","4C","11240","192","73.8","12/20/2024","12/26/2024 10:42"
"45542","267-S","A3 ZEN","Diente","2C","11239","311","134.1","12/20/2024","12/26/2024 10:29"
"45532","34M-S","A2 ZEN","Muela","2C","11224","831","364.5","12/20/2024","12/26/2024 10:29"
"45519","P4-I","A2 PLUS","Muela","4C","11240","156","43","12/20/2024","12/26/2024 9:55"
"45509","30L-S","B3","Muela","2C","11239","316","145.6","12/20/2024","12/26/2024 9:54"
"45521","S26-S","A2 PLUS","Diente","4C","11240","28","14.3","12/20/2024","12/27/2024 12:29"
"45520","SE22-S","A2 PLUS","Diente","4C","11240","176","98.9","12/20/2024","12/26/2024 9:49"
"45474","C-I","A2 ZEN","Diente","2C","11248","217","235.9","12/19/2024","12/26/2024 9:49"
"45473","D-I","A2 ZEN","Diente","2C","11248","227","246.7","12/19/2024","12/26/2024 9:49"
"45471","A26Z-S","A2 ZEN","Diente","2C","11248","224","157.7","12/19/2024","12/26/2024 9:17"
"45534","3D-I","A2 ZEN","Diente","2C","RESISTAL","107","125.9","12/20/2024","12/26/2024 8:56"
"45508","267-S","A2 ZEN","Diente","2C","11239","98","42.2","12/20/2024","12/26/2024 8:56"
"45539","A25-I","A3 ZEN","Diente","2C","11224","163","148.2","12/20/2024","12/26/2024 8:56"
"45548","2N-I","B3","Diente","2C","RESISTAL","343","372.8","12/20/2024","12/26/2024 14:36"
"45516","2N-S","A4","Diente","2C","RESISTAL","143","110","12/20/2024","12/26/2024 8:55"
"45545","A25-S","B3","Diente","2C","RESISTAL","153","124.4","12/20/2024","12/26/2024 8:43"
"45549","3N-S","B3","Diente","2C","RESISTAL","426","315.6","12/20/2024","12/27/2024 12:33"
